esperas,hora,aero
0,1654041600000,SBBR
0,1654045200000,SBBR
0,1654048800000,SBBR
0,1654052400000,SBBR
0,1654056000000,SBBR
0,1654059600000,SBBR
0,1654063200000,SBBR
0,1654066800000,SBBR
0,1654070400000,SBBR
0,1654074000000,SBBR
0,1654077600000,SBBR
0,1654081200000,SBBR
0,1654084800000,SBBR
0,1654088400000,SBBR
0,1654092000000,SBBR
0,1654095600000,SBBR
0,1654099200000,SBBR
0,1654102800000,SBBR
0,1654106400000,SBBR
0,1654110000000,SBBR
0,1654113600000,SBBR
0,1654117200000,SBBR
0,1654120800000,SBBR
0,1654124400000,SBBR
0,1654128000000,SBBR
0,1654131600000,SBBR
0,1654135200000,SBBR
0,1654138800000,SBBR
0,1654142400000,SBBR
0,1654146000000,SBBR
0,1654149600000,SBBR
0,1654153200000,SBBR
0,1654156800000,SBBR
0,1654160400000,SBBR
0,1654164000000,SBBR
0,1654167600000,SBBR
0,1654171200000,SBBR
0,1654174800000,SBBR
0,1654178400000,SBBR
0,1654182000000,SBBR
0,1654185600000,SBBR
0,1654189200000,SBBR
0,1654192800000,SBBR
0,1654196400000,SBBR
0,1654200000000,SBBR
0,1654203600000,SBBR
0,1654207200000,SBBR
0,1654210800000,SBBR
0,1654214400000,SBBR
0,1654218000000,SBBR
0,1654221600000,SBBR
0,1654225200000,SBBR
0,1654228800000,SBBR
0,1654232400000,SBBR
0,1654236000000,SBBR
0,1654239600000,SBBR
0,1654243200000,SBBR
0,1654246800000,SBBR
0,1654250400000,SBBR
0,1654254000000,SBBR
0,1654257600000,SBBR
0,1654261200000,SBBR
0,1654264800000,SBBR
0,1654268400000,SBBR
0,1654272000000,SBBR
0,1654275600000,SBBR
0,1654279200000,SBBR
0,1654282800000,SBBR
0,1654286400000,SBBR
0,1654290000000,SBBR
0,1654293600000,SBBR
0,1654297200000,SBBR
0,1654300800000,SBBR
0,1654304400000,SBBR
0,1654308000000,SBBR
0,1654311600000,SBBR
0,1654315200000,SBBR
0,1654318800000,SBBR
0,1654322400000,SBBR
0,1654326000000,SBBR
0,1654329600000,SBBR
0,1654333200000,SBBR
0,1654336800000,SBBR
0,1654340400000,SBBR
0,1654344000000,SBBR
0,1654347600000,SBBR
0,1654351200000,SBBR
0,1654354800000,SBBR
0,1654358400000,SBBR
0,1654362000000,SBBR
0,1654365600000,SBBR
0,1654369200000,SBBR
0,1654372800000,SBBR
0,1654376400000,SBBR
0,1654380000000,SBBR
0,1654383600000,SBBR
0,1654387200000,SBBR
0,1654390800000,SBBR
0,1654394400000,SBBR
0,1654398000000,SBBR
0,1654401600000,SBBR
0,1654405200000,SBBR
0,1654408800000,SBBR
0,1654412400000,SBBR
0,1654416000000,SBBR
0,1654419600000,SBBR
0,1654423200000,SBBR
0,1654426800000,SBBR
0,1654430400000,SBBR
0,1654434000000,SBBR
0,1654437600000,SBBR
0,1654441200000,SBBR
0,1654444800000,SBBR
0,1654448400000,SBBR
0,1654452000000,SBBR
0,1654455600000,SBBR
0,1654459200000,SBBR
0,1654462800000,SBBR
0,1654466400000,SBBR
0,1654470000000,SBBR
0,1654473600000,SBBR
0,1654477200000,SBBR
0,1654480800000,SBBR
0,1654484400000,SBBR
0,1654488000000,SBBR
0,1654491600000,SBBR
0,1654495200000,SBBR
0,1654498800000,SBBR
0,1654502400000,SBBR
0,1654506000000,SBBR
0,1654509600000,SBBR
0,1654513200000,SBBR
0,1654516800000,SBBR
0,1654520400000,SBBR
0,1654524000000,SBBR
0,1654527600000,SBBR
0,1654531200000,SBBR
0,1654534800000,SBBR
0,1654538400000,SBBR
0,1654542000000,SBBR
0,1654545600000,SBBR
0,1654549200000,SBBR
0,1654552800000,SBBR
0,1654556400000,SBBR
0,1654560000000,SBBR
0,1654563600000,SBBR
0,1654567200000,SBBR
0,1654570800000,SBBR
0,1654574400000,SBBR
0,1654578000000,SBBR
0,1654581600000,SBBR
0,1654585200000,SBBR
0,1654588800000,SBBR
0,1654592400000,SBBR
0,1654596000000,SBBR
0,1654599600000,SBBR
0,1654603200000,SBBR
0,1654606800000,SBBR
0,1654610400000,SBBR
0,1654614000000,SBBR
0,1654617600000,SBBR
0,1654621200000,SBBR
0,1654624800000,SBBR
0,1654628400000,SBBR
0,1654632000000,SBBR
0,1654635600000,SBBR
0,1654639200000,SBBR
0,1654642800000,SBBR
0,1654646400000,SBBR
0,1654650000000,SBBR
0,1654653600000,SBBR
0,1654657200000,SBBR
0,1654660800000,SBBR
0,1654664400000,SBBR
0,1654668000000,SBBR
0,1654671600000,SBBR
0,1654675200000,SBBR
0,1654678800000,SBBR
0,1654682400000,SBBR
0,1654686000000,SBBR
0,1654689600000,SBBR
0,1654693200000,SBBR
0,1654696800000,SBBR
0,1654700400000,SBBR
0,1654704000000,SBBR
0,1654707600000,SBBR
0,1654711200000,SBBR
0,1654714800000,SBBR
0,1654718400000,SBBR
0,1654722000000,SBBR
0,1654725600000,SBBR
0,1654729200000,SBBR
0,1654732800000,SBBR
0,1654736400000,SBBR
0,1654740000000,SBBR
0,1654743600000,SBBR
0,1654747200000,SBBR
0,1654750800000,SBBR
0,1654754400000,SBBR
0,1654758000000,SBBR
0,1654761600000,SBBR
0,1654765200000,SBBR
0,1654768800000,SBBR
0,1654772400000,SBBR
0,1654776000000,SBBR
0,1654779600000,SBBR
0,1654783200000,SBBR
0,1654786800000,SBBR
0,1654790400000,SBBR
0,1654794000000,SBBR
0,1654797600000,SBBR
0,1654801200000,SBBR
0,1654804800000,SBBR
0,1654808400000,SBBR
0,1654812000000,SBBR
0,1654815600000,SBBR
0,1654819200000,SBBR
0,1654822800000,SBBR
0,1654826400000,SBBR
0,1654830000000,SBBR
0,1654833600000,SBBR
0,1654837200000,SBBR
0,1654840800000,SBBR
0,1654844400000,SBBR
0,1654848000000,SBBR
0,1654851600000,SBBR
0,1654855200000,SBBR
0,1654858800000,SBBR
0,1654862400000,SBBR
0,1654866000000,SBBR
0,1654869600000,SBBR
0,1654873200000,SBBR
0,1654876800000,SBBR
0,1654880400000,SBBR
0,1654884000000,SBBR
0,1654887600000,SBBR
0,1654891200000,SBBR
0,1654894800000,SBBR
0,1654898400000,SBBR
0,1654902000000,SBBR
0,1654905600000,SBBR
0,1654909200000,SBBR
0,1654912800000,SBBR
0,1654916400000,SBBR
0,1654920000000,SBBR
0,1654923600000,SBBR
0,1654927200000,SBBR
0,1654930800000,SBBR
0,1654934400000,SBBR
0,1654938000000,SBBR
0,1654941600000,SBBR
0,1654945200000,SBBR
0,1654948800000,SBBR
0,1654952400000,SBBR
0,1654956000000,SBBR
0,1654959600000,SBBR
0,1654963200000,SBBR
0,1654966800000,SBBR
0,1654970400000,SBBR
0,1654974000000,SBBR
0,1654977600000,SBBR
0,1654981200000,SBBR
0,1654984800000,SBBR
0,1654988400000,SBBR
0,1654992000000,SBBR
0,1654995600000,SBBR
0,1654999200000,SBBR
0,1655002800000,SBBR
0,1655006400000,SBBR
0,1655010000000,SBBR
0,1655013600000,SBBR
0,1655017200000,SBBR
0,1655020800000,SBBR
0,1655024400000,SBBR
0,1655028000000,SBBR
0,1655031600000,SBBR
0,1655035200000,SBBR
0,1655038800000,SBBR
0,1655042400000,SBBR
0,1655046000000,SBBR
0,1655049600000,SBBR
0,1655053200000,SBBR
0,1655056800000,SBBR
0,1655060400000,SBBR
0,1655064000000,SBBR
0,1655067600000,SBBR
0,1655071200000,SBBR
0,1655074800000,SBBR
0,1655078400000,SBBR
0,1655082000000,SBBR
0,1655085600000,SBBR
0,1655089200000,SBBR
0,1655092800000,SBBR
0,1655096400000,SBBR
0,1655100000000,SBBR
0,1655103600000,SBBR
0,1655107200000,SBBR
0,1655110800000,SBBR
0,1655114400000,SBBR
